epoch,train_loss,train_acc,val_loss,val_acc
1,1.4345,0.6391,1.1244,0.8457
2,1.1819,0.7671,1.0501,0.8729
3,1.1461,0.7828,1.0174,0.8744
4,1.1299,0.7879,0.9982,0.8916
5,1.1156,0.7946,0.9983,0.8859
6,0.9333,0.8832,0.8409,0.967
7,0.7948,0.9415,0.7865,0.9749
8,0.7552,0.957,0.7714,0.9799
9,0.7298,0.9665,0.7527,0.9842
10,0.7199,0.9679,0.7479,0.9813
11,0.7101,0.9725,0.7326,0.9856
12,0.6906,0.978,0.7226,0.9856
13,0.6736,0.9816,0.7078,0.9899
14,0.6606,0.9855,0.7025,0.9907
15,0.652,0.988,0.6954,0.9921
16,0.6463,0.9887,0.6912,0.9928
17,0.6411,0.9895,0.6896,0.9935
18,0.6352,0.9926,0.6893,0.9928
19,0.6333,0.9929,0.6859,0.9921
20,0.6341,0.9925,0.6896,0.9928
21,0.6375,0.9901,0.6862,0.9921
22,0.633,0.9925,0.6837,0.9928
23,0.626,0.9925,0.6828,0.9943
24,0.6202,0.9948,0.6789,0.9943
25,0.6195,0.9946,0.6818,0.9928
26,0.6124,0.9964,0.675,0.9943
27,0.6107,0.9968,0.6744,0.9943
28,0.608,0.9964,0.6783,0.9943
29,0.605,0.997,0.6717,0.9943
30,0.6033,0.9974,0.6712,0.995
31,0.6015,0.998,0.6712,0.995
32,0.6026,0.997,0.6691,0.995
33,0.5993,0.9987,0.6694,0.995
34,0.5985,0.9985,0.6693,0.995
35,0.5976,0.9982,0.6678,0.9957
36,0.5976,0.9987,0.667,0.9957
37,0.5962,0.9983,0.6669,0.9957
38,0.5975,0.9985,0.6672,0.9943
39,0.595,0.9991,0.6681,0.995
40,0.5968,0.9986,0.6672,0.995
41,0.6029,0.9976,0.6701,0.9964
42,0.5995,0.9981,0.6727,0.995
43,0.5993,0.9972,0.6728,0.9957
44,0.5985,0.9978,0.6698,0.9943
45,0.5949,0.9985,0.6647,0.9957
46,0.5942,0.9987,0.6695,0.9943
47,0.5934,0.9991,0.6661,0.9964
48,0.5934,0.9991,0.6653,0.9971
49,0.5922,0.9996,0.6671,0.995
50,0.5906,0.9993,0.6643,0.9964
